source	target	mor	confidenceLevel	resource
cdaR	SL3223	1	Weak	RegulonDB
celD	SL1247	1	Strong	RegulonDB
celD	SL1248	1	Strong	RegulonDB
celD	SL1249	1	Strong	RegulonDB
celD	SL1250	1	Strong	RegulonDB
celD	SL1251	1	Strong	RegulonDB
celD	SL1252	1	Strong	RegulonDB
citB	SL0607	1	Strong	RegulonDB
citB	SL0608	1	Strong	RegulonDB
citB	SL0609	1	Strong	RegulonDB
citB	SL0610	1	Strong	RegulonDB
citB	SL0611	1	Strong	RegulonDB
citB	SL0612	1	Strong	RegulonDB
citB	SL0613	1	Strong	RegulonDB
citB	SL0614	1	Strong	RegulonDB
citB	SL3331	1	Strong	RegulonDB
copR	SL0345	1	Strong	RegulonDB
copR	SL0433	-1	Weak	RegulonDB
copR	SL0434	-1	Weak	RegulonDB
copR	SL0435	-1	Weak	RegulonDB
copR	SL0436	-1	Weak	RegulonDB
copR	SL0437	-1	Weak	RegulonDB
copR	SL1036	1	Strong	RegulonDB
cpxR	SL0210	1	Strong	RegulonDB
cpxR	SL0226	1	Weak	RegulonDB
cpxR	SL0227	1	Weak	RegulonDB
cpxR	SL0228	1	Weak	RegulonDB
cpxR	SL0229	1	Weak	RegulonDB
cpxR	SL0371	1	Weak	RegulonDB
cpxR	SL0372	1	Weak	RegulonDB
cpxR	SL0446	1	Strong	RegulonDB
cpxR	SL0466	1	Strong	RegulonDB
cpxR	SL0467	1	Strong	RegulonDB
cpxR	SL0737	1	Strong	RegulonDB
cpxR	SL0936	-1	Strong	RegulonDB
cpxR	SL1025	1	Strong	RegulonDB
cpxR	SL1076	-1	Strong	RegulonDB
cpxR	SL1077	-1	Strong	RegulonDB
cpxR	SL1078	-1	Strong	RegulonDB
cpxR	SL1079	-1	Strong	RegulonDB
cpxR	SL1080	-1	Strong	RegulonDB
cpxR	SL1081	-1	Strong	RegulonDB
cpxR	SL1082	-1	Strong	RegulonDB
cpxR	SL1243	1	Strong	RegulonDB
cpxR	SL1448	1	Strong	RegulonDB
cpxR	SL1449	1	Strong	RegulonDB
cpxR	SL1450	1	Strong	RegulonDB
cpxR	SL1814	1	Strong	RegulonDB
cpxR	SL1855	-1	Strong	RegulonDB
cpxR	SL1856	-1	Strong	RegulonDB
cpxR	SL1857	-1	Strong	RegulonDB
cpxR	SL1858	-1	Strong	RegulonDB
cpxR	SL1865	1	Strong	RegulonDB
